Graph Type,Maze Size,Wall Density,Function,Average Time
ls,5x5,0.4,updateWall,3.7205427361186594e-06
ls,5x5,0.4,neighbours,1.2513586214833682e-06
ls,5x5,0.4,updateWall,2.335080353077501e-06
ls,5x5,0.4,neighbours,6.135742296464741e-07
ls,5x5,0.4,updateWall,2.081537483415256e-06
ls,5x5,0.4,neighbours,6.449064874852245e-07
ls,5x5,0.4,updateWall,2.119707157059262e-06
ls,5x5,0.4,neighbours,6.19252122388306e-07
ls,5x5,0.4,updateWall,2.1857522369828075e-06
ls,5x5,0.4,neighbours,7.389094475108911e-07
ls,5x5,0.4,updateWall,2.073000359814614e-06
ls,5x5,0.4,neighbours,6.07115825087848e-07
ls,5x5,0.4,updateWall,3.6024612199980766e-06
ls,5x5,0.4,neighbours,1.4999690133013895e-06
ls,5x5,0.4,updateWall,2.084957183493922e-06
ls,5x5,0.4,neighbours,6.294476885446593e-07
ls,5x5,0.4,updateWall,2.107582986354828e-06
ls,5x5,0.4,neighbours,6.199774188211276e-07
ls,5x5,0.4,updateWall,2.074622898362577e-06
ls,5x5,0.4,neighbours,6.131711415946484e-07
ls,10x10,0.45,updateWall,5.1902627661786595e-06
ls,10x10,0.45,neighbours,1.6794987050430662e-06
ls,10x10,0.45,updateWall,2.060990399596366e-06
ls,10x10,0.45,neighbours,5.835584009326594e-07
ls,10x10,0.45,updateWall,4.5796170727246336e-06
ls,10x10,0.45,neighbours,1.535234781683503e-06
ls,10x10,0.45,updateWall,2.011371308448489e-06
ls,10x10,0.45,neighbours,5.701813638989029e-07
ls,10x10,0.45,updateWall,3.122868053991385e-06
ls,10x10,0.45,neighbours,8.952554322384072e-07
ls,10x10,0.45,updateWall,5.1157878279083905e-06
ls,10x10,0.45,neighbours,1.5780196342428651e-06
ls,10x10,0.45,updateWall,4.328674439227942e-06
ls,10x10,0.45,neighbours,1.4416055952548792e-06
ls,10x10,0.45,updateWall,2.9003019491680943e-06
ls,10x10,0.45,neighbours,6.017240158573615e-07
ls,10x10,0.45,updateWall,5.011303018722119e-06
ls,10x10,0.45,neighbours,1.5249481293722055e-06
ls,10x10,0.45,updateWall,5.0745465242388574e-06
ls,10x10,0.45,neighbours,1.6205545546392262e-06
ls,50x50,0.49,updateWall,2.331037468248222e-06
ls,50x50,0.49,neighbours,7.033844672718941e-07
ls,50x50,0.49,updateWall,2.1781778268079284e-06
ls,50x50,0.49,neighbours,6.243134651650748e-07
ls,50x50,0.49,updateWall,2.184133595541394e-06
ls,50x50,0.49,neighbours,7.276493162073855e-07
ls,50x50,0.49,updateWall,2.0173341393613875e-06
ls,50x50,0.49,neighbours,5.869182700689507e-07
ls,50x50,0.49,updateWall,2.937014401499398e-06
ls,50x50,0.49,neighbours,7.029972886333436e-07
ls,50x50,0.49,updateWall,2.012524903159724e-06
ls,50x50,0.49,neighbours,5.649074166181461e-07
ls,50x50,0.49,updateWall,2.0228574384509228e-06
ls,50x50,0.49,neighbours,5.76286996521555e-07
ls,50x50,0.49,updateWall,2.032725057811016e-06
ls,50x50,0.49,neighbours,6.380882724313208e-07
ls,50x50,0.49,updateWall,2.6133397206322713e-06
ls,50x50,0.49,neighbours,6.446060800770963e-07
ls,50x50,0.49,updateWall,2.8599903979549267e-06
ls,50x50,0.49,neighbours,7.182152356591059e-07
ls,70x100,0.42243867243867245,updateWall,2.1910065070357785e-06
ls,70x100,0.42243867243867245,neighbours,6.294738680567859e-07
ls,70x100,0.42308802308802307,updateWall,2.086647963642346e-06
ls,70x100,0.42308802308802307,neighbours,6.495085445332707e-07
ls,70x100,0.4243145743145743,updateWall,2.0287300685985096e-06
ls,70x100,0.4243145743145743,neighbours,5.705797842529032e-07
ls,70x100,0.4209235209235209,updateWall,2.2732969743052878e-06
ls,70x100,0.4209235209235209,neighbours,6.402944115943557e-07
ls,70x100,0.42712842712842713,updateWall,1.968644676281075e-06
ls,70x100,0.42712842712842713,neighbours,5.597023794388767e-07
ls,70x100,0.4243145743145743,updateWall,2.2031442306276847e-06
ls,70x100,0.4243145743145743,neighbours,6.5098818518927e-07
ls,70x100,0.42402597402597403,updateWall,2.502241576713732e-06
ls,70x100,0.42402597402597403,neighbours,7.149620539564943e-07
ls,70x100,0.4233044733044733,updateWall,2.15926137609786e-06
ls,70x100,0.4233044733044733,neighbours,6.290060910463088e-07
ls,70x100,0.4248917748917749,updateWall,2.06998138629823e-06
ls,70x100,0.4248917748917749,neighbours,6.048144025887113e-07
ls,70x100,0.42308802308802307,updateWall,2.0344831419828974e-06
ls,70x100,0.42308802308802307,neighbours,6.136943699501814e-07
